Kateqoriya,Məhsul,Unit,Links {JSON}
Молочные,Süd,1 л,"[""https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/milla-sud-2-5-1l-itemid-63976d638d6c90e366944bd2?search=milla%20"", ""https://wolt.com/ru/aze/baku/venue/bravo-supermarket-bulbul-ave/milla-sud-2-5-1l-itemid-20629858952ab961630b3bc4?search=milla"", ""https://wolt.com/ru/aze/baku/venue/neptun-supermarket-28/milla-sud-2-5-1-l-itemid-6c5a4119294630a350d22688?search=milla"", ""Azərsüd Süd 2.4 % 1lt | Wolt Market Landmark | Wolt"", ""Azərsüd Süd 2.4% 1l | Bravo Supermarket Bulbul ave. | Wolt"", ""Azər Süd 1lt Süd 2.4% Paket | Neptun Supermarket 28 May | Wolt"", ""https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/atena-sud-2-4-1lt-itemid-67d18228f5a00f0fb1b13547"", ""https://wolt.com/ru/aze/baku/venue/bravo-supermarket-city-park-mall/atena-uht-sud-2-4-itemid-9df1e497b82351aa8aa97375?search=sud"", ""https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/atena-sud-2-4-1-l-itemid-4885430808eaab8fce27ac2a?search=atena%20sud""]"
Молочные,Kefir,0.75 л,"[""не представлен"", ""https://wolt.com/ru/aze/baku/venue/bravo-tahir-97/milla-kefir-750ml-itemid-892a6eb6157e13d5c1028414?search=milla%20kefir"", ""не представлен"", ""Atena Kefir 2% 1lt | Wolt Market Landmark | Wolt"", ""Atena Kefir 2.0% Yağlı 1l | Bravo Supermarket Bulbul ave. | Wolt"", ""не представлен""]"
Молочные,Qatıq,500 г,"[""https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/atena-qatiq-1-5-500q-itemid-67d18228f5a00f0fb1b13569?search=atena%20"", ""https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/homogenize-qatiq-atena-1-5-500qr-itemid-4acfdcb4840124fcf182c03d?search=qatiq"", ""не представлен"", ""Milla Qatıq 1.5% 450q | Wolt Market Landmark | Wolt"", ""Milla Qatıq 1.5% 500qr | Bravo Supermarket Bulbul ave. | Wolt"", ""Milla Qatıq 1.5% 500 qr | Neptun Supermarket 28 May | Wolt""]"
Молочные,Ayran,1 л,"[""https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/atena-ayran-1-4-1l-itemid-62750f995c2ff361236ff0c1?search=atena"", ""https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/atena-ayran-1-4-1l-itemid-c91f6a1544e4c505da587f1f?search=atena"", ""https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/atena-ayran-1-l-itemid-53722fa0987465aae121ea6e?search=ayran"", ""Milla Ayran 1l | Wolt Market Landmark | Wolt"", ""Milla Ayran 1l | Bravo Supermarket Bulbul ave. | Wolt"", ""Milla Ayran 1 l | Neptun Supermarket 28 May | Wolt""]"
Молочные,Xama,175 г,"[""https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/milla-xama-20-175q-itemid-63976d638d6c90e366944bca?search=xama"", ""https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/milla-xama-20-175qr-itemid-b97e85a8791ec391a72bf57c?search=milla+xama"", ""https://wolt.com/ru/aze/baku/venue/market11/milla-xama-20-175-qr-itemid-4ae60ee81f6785497442a23f?search=milla+xama"", ""https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/dr-milk-xama-kaunasskaya-20-200q-itemid-679747c0c59beb1eed193ea8?search=xama"", ""https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/dr-milk-xama-kaunasskaya-20-200qr-itemid-118c563933ff8c194c2f2718?search=xama"", ""https://wolt.com/ru/aze/baku/venue/market11/dr-milk-xama-20-kaunasskaya-200-qr-itemid-5b966f9db165b41bd0496e98?search=xama""]"
Молочные,Kəsmk,180 г,"[""https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/azersud-kesmik-0-5-180q-itemid-72d3b2982b36dfa332f1dedc?search=%D1%82%D0%B2%D0%BE%D1%80%D0%BE%D0%B3"", ""https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/azersud-kesmik-0-5-180qr-itemid-77fc8f2f343c6b0520de1487?search=k%C9%99smik"", ""https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/azersud-kesmik-pehriz-0-5-180-qr-itemid-a97eddd0d910fc6ea65a7d5e?search=k%C9%99smik"", ""https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/dr-milk-kesmik-dietik-0-3-180q-itemid-679747c0c59beb1eed193f36?search=k%C9%99smik"", ""https://wolt.com/ru/aze/baku/venue/bravo-supermarket-rifah-plaza/dr-milk-kesmik-dietik-0-3-180qr-itemid-d2e6af24972028304f7cb6d1?search=k%C9%99smik"", ""https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/dr-milk-kesmik-0-dietik-180-qr-itemid-13a7192967fbcc7f2090dec7?search=k%C9%99smik""]"
Молочные,Pendir ağ,500 г,"[""https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/atena-ag-pendir-500q-itemid-67d1818152b48cdf85a25881?search=atena"", ""https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/atena-beyaz-pendir-500qr-itemid-0511cedd6b012886ede31ba4?search=atena"", ""https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/atena-ag-pendir-500-qr-itemid-c9cc169cc9944c88939f7409?search=atena"", ""https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/mpro-canax-pendiri-500q-itemid-679747c1c59beb1eed194fca?search=pendir+ag"", ""https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/goycay-canax-pendiro-500qr-itemid-7409d5f6725105f6a4c3a9e4?search=pendir"", ""https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/goycay-canaq-pendiri-500-qr-itemid-d2d8d0fb14523ad50fa7745c?search=ag+pendir+""]"
Молочные,Suluguni,250 г,"[""https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/azersud-sacaq-pendiri-250q-itemid-7e18a245dfab84680a29085d?search=sa%C3%A7aq+pendir"", ""https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/azersud-sacaq-pendir-250qr-itemid-a7db544c0fb29032177d74b3?search=sa%C3%A7aq+pendir"", ""https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/azersud-sacaq-pendir-250qr-itemid-1df698953be801d98aa422f3?search=sa%C3%A7a+pendir""]"
Молочные,Bərk pendir,1 кг,[]
Молочные,Kərə yağı,1 кг,"[""https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/azersud-kere-yagi-83-yagliliq-1kg-itemid-679747c1c59beb1eed195016?search=k%C9%99r%C9%99+"", ""https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/azersud-kere-yagi-1kq-itemid-57132260ea623d94bbdd04b5?search=k%C9%99r%C9%99+ya"", ""https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/azer-sud-kere-yagi-83-1-kq-itemid-389fc3a530533bf7ed377f92?search=k%C9%99r%C9%99+ya"", ""не представлен"", ""https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/milla-kere-yagi-itemid-03e694aa866aab79d5a81e34?search=k%C9%99r%C9%99+ya"", ""https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/milla-kere-yagi-82-paket-2x500-gr-itemid-e9cf85a1e6912d8ad5669698?search=k%C9%99r%C9%99+ya""]"
